pc4,lat,lon
3545,52.078,5.067
5292,51.623,5.377
2982,51.873,4.591
4818,51.579,4.785
8315,52.748,5.847
9443,52.910,6.708
2136,52.314,4.619
9642,53.097,6.859
1114,52.329,4.928
8937,53.196,5.820
5121,51.589,4.918
2632,52.049,4.395
5408,51.645,5.660
2722,52.057,4.506
9003,53.147,5.900
7877,52.888,7.017
3721,52.121,5.187
5249,51.729,5.400
7587,52.313,6.993
1949,52.493,4.595
6462,50.854,6.069
9657,53.070,6.774
4837,51.569,4.769
5831,51.648,5.946
8805,53.166,5.518
3313,51.816,4.708
7261,52.083,6.452
7668,52.406,6.837
3882,52.255,5.586
1024,52.394,4.955
1624,52.649,5.063
9295,53.293,6.085
4891,51.517,4.698
8333,52.781,6.152
2614,52.008,4.336
4458,51.494,3.818
3331,51.819,4.642
8441,52.965,5.918
7561,52.302,6.842
1446,52.511,4.994
1831,52.673,4.754
5012,51.583,5.099
2961,51.887,4.632
6827,51.973,5.934
8362,52.754,5.964
9608,53.184,6.684
4525,51.355,3.384
9665,53.104,7.008
8715,52.883,5.364
1687,52.683,5.022
1107,52.293,4.980
2251,52.124,4.452
1451,52.480,4.924
8632,53.059,5.627
4761,51.646,4.598
8529,52.951,5.658
2912,51.965,4.607
2512,52.074,4.306
9523,52.981,6.911
9824,53.168,6.255
7695,52.534,6.662
4703,51.535,4.442
9891,53.309,6.443
3612,52.152,5.089
8913,53.201,5.781
6998,51.996,6.216
7859,52.870,6.775
8541,53.002,5.789
8124,52.332,6.208
1692,52.719,5.116
8736,53.077,5.635
5701,51.481,5.664
4061,51.846,5.382
5244,51.716,5.385
7421,52.244,6.221
9009,53.097,5.798
1333,52.396,5.265
2322,52.135,4.493
7926,52.666,6.500
7245,52.197,6.373
7555,52.262,6.771
9537,52.891,6.783
5863,51.529,6.108
3849,52.353,5.679
4171,51.827,5.132
2723,52.063,4.519
3832,52.119,5.406
1865,52.662,4.632
2952,51.856,4.670
9256,53.225,5.914
6433,50.912,5.929
1793,53.077,4.822
9153,53.353,5.932
5237,51.730,5.291
2908,51.957,4.581
2555,52.064,4.238
3147,51.935,4.241
6223,50.884,5.694
6439,50.967,5.908
6621,51.849,5.433
5221,51.724,5.258
2371,52.201,4.630
7418,52.244,6.187
3222,51.839,4.129
9201,53.114,6.095
8884,53.378,5.276
1747,52.737,4.753
